"","scientific.name","common.name","iconic.taxon.name","observed.on","place.guess","latitude","longitude","positional.accuracy","user.id","captive.cultivated","url","image.url"
"26","Egretta thula","snowy egret","Aves","2022-08-26","Mount Desert Island, Southwest Harbor, ME, US",44.2546398845,-68.3406226945,286,1910545,"false","https://www.inaturalist.org/observations/132409839","https://inaturalist-open-data.s3.amazonaws.com/photos/225484872/medium.jpg"
"27","Tringa melanoleuca","greater yellowlegs","Aves","2022-08-26","Mount Desert Island, Southwest Harbor, ME, US",44.254028237,-68.3407182765,132,1910545,"false","https://www.inaturalist.org/observations/132409288","https://inaturalist-open-data.s3.amazonaws.com/photos/225483920/medium.jpg"
"28","Araneus diadematus","cross orbweaver","Arachnida","2022-08-26","Mt Desert, ME 04660, USA",44.31034303,-68.20403735,7,2588518,"false","https://www.inaturalist.org/observations/132408903","https://static.inaturalist.org/photos/225483725/medium.jpeg"
"29","Lobelia cardinalis","cardinal flower","Plantae","2022-08-26","Bar Harbor, ME 04609, USA",44.3317182188,-68.1859323755,761,5234188,"false","https://www.inaturalist.org/observations/132402588","https://static.inaturalist.org/photos/225471349/medium.jpeg"
"30","Thamnophis sirtalis","common garter snake","Reptilia","2022-08-25","Acadia National Park, Bar Harbor, ME, US",44.3535583333,-68.188675,81,3493286,"false","https://www.inaturalist.org/observations/132393124","https://inaturalist-open-data.s3.amazonaws.com/photos/225453996/medium.jpg"
"31","Orgyia leucostigma","white-marked tussock moth","Insecta","2022-08-25","Acadia National Park, Mount Desert, ME, US",44.3209616667,-68.253425,5,3634893,"false","https://www.inaturalist.org/observations/132354053","https://inaturalist-open-data.s3.amazonaws.com/photos/225379059/medium.jpg"
"32","Acer pensylvanicum","striped maple","Plantae","2022-08-25","Acadia National Park, Mount Desert, ME, US",44.3151883333,-68.2538383333,10,3634893,"false","https://www.inaturalist.org/observations/132353882","https://inaturalist-open-data.s3.amazonaws.com/photos/225378722/medium.jpg"
"33","Danaus plexippus","monarch","Insecta","2022-08-25","Acadia National Park, Bar Harbor, ME, US",44.3502583333,-68.2301033333,5,3634893,"false","https://www.inaturalist.org/observations/132352839","https://inaturalist-open-data.s3.amazonaws.com/photos/225376677/medium.jpg"
"34","Speyeria cybele","great spangled fritillary","Insecta","2022-08-25","Acadia National Park, Bar Harbor, ME, US",44.3503216667,-68.230155,5,3634893,"false","https://www.inaturalist.org/observations/132352801","https://inaturalist-open-data.s3.amazonaws.com/photos/225376581/medium.jpg"
"35","Vanessa virginiensis","american lady","Insecta","2022-08-25","Acadia National Park, Bar Harbor, ME, US",44.3526627541,-68.2248478029,137,3634893,"false","https://www.inaturalist.org/observations/132352522","https://inaturalist-open-data.s3.amazonaws.com/photos/225376073/medium.jpg"
"36","Euphrasia nemorosa","common eyebright","Plantae","2022-08-25","Acadia National Park, Bar Harbor, ME, US",44.3526,-68.22303,50,3634893,"false","https://www.inaturalist.org/observations/132350507","https://inaturalist-open-data.s3.amazonaws.com/photos/225372791/medium.jpg"
"37","Pseudochorthippus curtipennis","marsh meadow grasshopper","Insecta","2022-08-25","Schoodic Institute",44.3361708809,-68.0595185235,182,5442272,"false","https://www.inaturalist.org/observations/132348645","https://inaturalist-open-data.s3.amazonaws.com/photos/225369396/medium.jpeg"
"38","Erethizon dorsatum","north american porcupine","Mammalia","2022-08-25","Winter Harbor, ME 04693, USA",44.3350531307,-68.0610433593,8,6065143,"false","https://www.inaturalist.org/observations/132341041","https://static.inaturalist.org/photos/225354743/medium.jpeg"
"39","Danaus plexippus","monarch","Insecta","2022-08-25","Winter Harbor, ME 04693, USA",44.3350305884,-68.0610276014,7,6065143,"false","https://www.inaturalist.org/observations/132340981","https://static.inaturalist.org/photos/225354607/medium.jpeg"
"40","Impatiens capensis","common jewelweed","Plantae","2022-08-25","Mount Desert Island, Southwest Harbor, ME, US",44.2990826865,-68.3184680694,620,5803924,"false","https://www.inaturalist.org/observations/132326154","https://inaturalist-open-data.s3.amazonaws.com/photos/225326088/medium.jpg"
"41","Popillia japonica","japanese beetle","Insecta","2022-08-25","Acadia National Park, Birch Harbor, ME, US",44.3352529716,-68.0607973568,24,6066806,"false","https://www.inaturalist.org/observations/132314554","https://inaturalist-open-data.s3.amazonaws.com/photos/225304993/medium.jpg"
"42","Harmonia axyridis","asian lady beetle","Insecta","2022-08-25","Acadia National Park, Birch Harbor, ME, US",44.3353283333,-68.0603638333,3,6066800,"false","https://www.inaturalist.org/observations/132313485","https://inaturalist-open-data.s3.amazonaws.com/photos/225303138/medium.jpg"
"43","Cupido comyntas","eastern tailed-blue","Insecta","2022-08-25","Acadia National Park, Birch Harbor, ME, US",44.335255,-68.0608583333,4,6066800,"false","https://www.inaturalist.org/observations/132313457","https://inaturalist-open-data.s3.amazonaws.com/photos/225303058/medium.jpg"
"44","Argiope trifasciata","banded garden spider","Arachnida","2022-08-25","Acadia National Park, Birch Harbor, ME, US",44.3354116667,-68.0595778333,8,6066800,"false","https://www.inaturalist.org/observations/132313240","https://inaturalist-open-data.s3.amazonaws.com/photos/225302662/medium.jpg"
"45","Popillia japonica","japanese beetle","Insecta","2022-08-25","Acadia National Park, Birch Harbor, ME, US",44.3356204882,-68.0621975304,1725,6066794,"false","https://www.inaturalist.org/observations/132313184","https://inaturalist-open-data.s3.amazonaws.com/photos/225302547/medium.jpg"
"46","Roeseliana roeselii","roesel's bush-cricket","Insecta","2022-08-25","Acadia National Park, Birch Harbor, ME, US",44.3361383333,-68.05935,35,6066800,"false","https://www.inaturalist.org/observations/132313002","https://inaturalist-open-data.s3.amazonaws.com/photos/225302148/medium.jpg"
"47","Cisseps fulvicollis","yellow-collared scape moth","Insecta","2022-08-25","Acadia National Park, Birch Harbor, ME, US",44.3355,-68.0594861667,4,6066807,"false","https://www.inaturalist.org/observations/132312928","https://inaturalist-open-data.s3.amazonaws.com/photos/225301985/medium.jpg"
"48","Popillia japonica","japanese beetle","Insecta","2022-08-25","Acadia National Park, Birch Harbor, ME, US",44.3352166667,-68.0613721667,14,6066796,"false","https://www.inaturalist.org/observations/132312904","https://inaturalist-open-data.s3.amazonaws.com/photos/225301919/medium.jpg"
"49","Coenonympha california","common ringlet","Insecta","2022-08-25","Acadia National Park, Birch Harbor, ME, US",44.33533,-68.0595166667,8,6066798,"false","https://www.inaturalist.org/observations/132312877","https://inaturalist-open-data.s3.amazonaws.com/photos/225301862/medium.jpg"
"50","Pseudochorthippus curtipennis","marsh meadow grasshopper","Insecta","2022-08-25","Acadia National Park, Birch Harbor, ME, US",44.3354866667,-68.0594945,3,6066798,"false","https://www.inaturalist.org/observations/132312808","https://inaturalist-open-data.s3.amazonaws.com/photos/225301738/medium.jpg"
"51","Popillia japonica","japanese beetle","Insecta","2022-08-25","Acadia National Park, Hancock County, US-ME, US",44.3351106854,-68.0609015375,12,6066787,"false","https://www.inaturalist.org/observations/132312736","https://static.inaturalist.org/photos/225301548/medium.jpeg"
"52","Roeseliana roeselii","roesel's bush-cricket","Insecta","2022-08-25","Acadia National Park, Birch Harbor, ME, US",44.3355116667,-68.0595388333,5,3389858,"false","https://www.inaturalist.org/observations/132312637","https://inaturalist-open-data.s3.amazonaws.com/photos/225301346/medium.jpg"
"53","Coenonympha california","common ringlet","Insecta","2022-08-25","Acadia National Park, Birch Harbor, ME, US",44.335455,-68.0595333333,4,6066807,"false","https://www.inaturalist.org/observations/132312583","https://inaturalist-open-data.s3.amazonaws.com/photos/225301276/medium.jpg"
