scientific.name,common.name,iconic.taxon.name,observed.on,place.guess,latitude,longitude,positional.accuracy,user.login,user.id,captive.cultivated,url,image.url
Poecile atricapillus,black-capped chickadee,Aves,2022-09-07,NA,44.3510205,-68.1898588,NA,NA,NA,NA,https://ebird.org/checklist/S118282873,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-07,NA,44.3727785,-68.3024955,NA,NA,NA,NA,https://ebird.org/checklist/S118275646,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-06,NA,44.3754377,-68.0752723,NA,NA,NA,NA,https://ebird.org/checklist/S118224770,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-06,NA,44.3338535,-68.1804979,NA,NA,NA,NA,https://ebird.org/checklist/S118216867,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-06,NA,44.3489122,-68.1854868,NA,NA,NA,NA,https://ebird.org/checklist/S118216939,NA
Poecile atricapillus,black-capped chickadee,Aves,2022-09-05,NA,44.3766313,-68.2511902,NA,NA,NA,NA,https://ebird.org/checklist/S118179010,NA
Setophaga virens,black-throated green warbler,Aves,2022-09-11,NA,44.3534831,-68.2260418,NA,NA,NA,NA,https://ebird.org/checklist/S118518682,NA
Setophaga virens,black-throated green warbler,Aves,2022-09-11,NA,44.3672499,-68.2112038,NA,NA,NA,NA,https://ebird.org/checklist/S118501519,NA
Setophaga virens,black-throated green warbler,Aves,2022-09-10,NA,44.3023735,-68.3142483,NA,NA,NA,NA,https://ebird.org/checklist/S118559269,NA
Setophaga virens,black-throated green warbler,Aves,2022-09-09,NA,44.2316668,-68.3256161,NA,NA,NA,NA,https://ebird.org/checklist/S118426539,NA
Setophaga virens,black-throated green warbler,Aves,2022-09-08,NA,44.3210234,-68.2540226,NA,NA,NA,NA,https://ebird.org/checklist/S118321900,NA
Setophaga virens,black-throated green warbler,Aves,2022-09-08,NA,44.3242409,-68.2499805,NA,NA,NA,NA,https://ebird.org/checklist/S118318843,NA
Setophaga virens,black-throated green warbler,Aves,2022-09-07,NA,44.3727785,-68.3024955,NA,NA,NA,NA,https://ebird.org/checklist/S118275646,NA
Setophaga virens,black-throated green warbler,Aves,2022-09-06,NA,44.3338535,-68.1804979,NA,NA,NA,NA,https://ebird.org/checklist/S118216867,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-12,NA,44.3023735,-68.3142483,NA,NA,NA,NA,https://ebird.org/checklist/S118566697,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-12,NA,44.2316668,-68.3256161,NA,NA,NA,NA,https://ebird.org/checklist/S118567636,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-12,NA,44.3727785,-68.3024955,NA,NA,NA,NA,https://ebird.org/checklist/S118562944,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-12,NA,44.3403019,-68.0582428,NA,NA,NA,NA,https://ebird.org/checklist/S118560604,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-12,NA,44.3002228,-68.3505289,NA,NA,NA,NA,https://ebird.org/checklist/S118560737,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-12,NA,44.3080944,-68.3550911,NA,NA,NA,NA,https://ebird.org/checklist/S118561619,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-12,NA,44.3068379,-68.3367205,NA,NA,NA,NA,https://ebird.org/checklist/S118559715,NA
Sitta canadensis,red-breasted nuthatch,Aves,2022-09-12,NA,44.314947,-68.3361143,NA,NA,NA,NA,https://ebird.org/checklist/S118558895,NA
